1973-08-02,1500.0,80e1f97cb8e1aa41127f7d8c2b28b968,23717,Sylvia,Mays,1981-04-28,1-132-042-3144x00827,J559MMO6Y8,France,FR,15788,0d219c079947a703bfa387edd8cd4a05,18710,Caleb,Mcpherson,2014-06-02,(059)528-3221,D9U5N6BTH7,Allemagne,DE,7263
1988-10-13,1500.0,b371f64eb83fa445186bb615f9111b3b,23717,Sylvia,Mays,1981-04-28,1-132-042-3144x00827,J559MMO6Y8,France,FR,15788,6248fd5fe5b70c3711b539b04c95b6a6,18710,Caleb,Mcpherson,2014-06-02,(059)528-3221,D9U5N6BTH7,Allemagne,DE,7263
1974-07-25,1500.0,4f5168863f3392f96fe48630f44fab80,23717,Sylvia,Mays,1981-04-28,1-132-042-3144x00827,J559MMO6Y8,France,FR,15788,aea2cd0212259e40546ddac8b0b14e74,18710,Caleb,Mcpherson,2014-06-02,(059)528-3221,D9U5N6BTH7,Allemagne,DE,7263
1980-05-29,1500.0,7c8193808a79b62a869008d1dfc4799b,23717,Sylvia,Mays,1981-04-28,1-132-042-3144x00827,J559MMO6Y8,France,FR,15788,2d224c1e53bb03bc715bb4253c9e90c9,18710,Caleb,Mcpherson,2014-06-02,(059)528-3221,D9U5N6BTH7,Allemagne,DE,7263
1972-07-27,1500.0,de0821eb6de508552d55d5980d27ac62,23717,Sylvia,Mays,1981-04-28,1-132-042-3144x00827,J559MMO6Y8,France,FR,15788,595a95581855ebfa2d9d106b5f86764d,27457,Allison,Morris,1976-10-26,(679)664-6150x86504,LX7QBXRM63,France,FR,26128
1987-03-25,1600.0,b39c9bb8410f551a4216a3dba820117d,23722,Kevin,Boyd,1987-02-23,811-452-1990x76189,0NERWXU077,Allemagne,DE,5742,f3393ada86890078b31d0ec1f1087fd9,23723,Mark,Garcia,1971-04-09,07368897181,2MDXK18ZFN,Italie,IT,58230
2014-12-29,1600.0,ab0a71948243c7aaa9a44385d30ce70b,23722,Kevin,Boyd,1987-02-23,811-452-1990x76189,0NERWXU077,Allemagne,DE,5742,86d892acb9bffa2d0d4b80ea2aa7b16d,23723,Mark,Garcia,1971-04-09,07368897181,2MDXK18ZFN,Italie,IT,58230
1977-05-15,3250.0,b6e9ad20888f4a72a42f582aaedc2b83,23722,Kevin,Boyd,1987-02-23,811-452-1990x76189,0NERWXU077,Allemagne,DE,5742,8adcc3ca21fb2b0b9d14cc824f9f0f3d,23723,Mark,Garcia,1971-04-09,07368897181,2MDXK18ZFN,Italie,IT,58230
1972-08-10,2900.0,ba9e217987f2a1e6f4b5e49cfcef0b55,23722,Kevin,Boyd,1987-02-23,811-452-1990x76189,0NERWXU077,Allemagne,DE,5742,6fa6c309c07d53758de5725f7ca835ce,17898,Karen,Irwin,1970-10-23,04667775679,02JKM4RZE6,Allemagne,DE,29536
2000-02-13,2900.0,adb6a30e610733774e758b91ee20cfb6,23722,Kevin,Boyd,1987-02-23,811-452-1990x76189,0NERWXU077,Allemagne,DE,5742,d04713f52633b94d03ac9985f2a9e088,17898,Karen,Irwin,1970-10-23,04667775679,02JKM4RZE6,Allemagne,DE,29536
1993-03-21,1900.0,acde856cec74025d26974439ae59b6a9,23722,Kevin,Boyd,1987-02-23,811-452-1990x76189,0NERWXU077,Allemagne,DE,5742,f69d79eeb0dd43876e0c26c72c122ec7,18678,Vicki,Hernandez,1992-10-30,991.101.9164x0771,2WDHHVYHXP,Allemagne,DE,853
1998-07-12,2900.0,0dfcdcb8ab3c9cfbce177be3f88a0c8a,23722,Kevin,Boyd,1987-02-23,811-452-1990x76189,0NERWXU077,Allemagne,DE,5742,1867f0af22cb17f55ce021c6a19fb75b,21416,Walter,Baker,1989-09-24,459-962-3242x466,JBK34IH354,France,FR,26308
